"PlayerPosition","idPlayer","namePlayer"
"G",1628393,"Jawun Evans"
"G",1627936,"Alex Caruso"
"G",1628425,"Sterling Brown"
"G",1628424,"Kobi Simmons"
"G",1628412,"Frank Mason"
"G",203705,"Josh Magette"
"G",1628681,"Rodney Purvis"
"G",1626224,"Cedi Osman"
"G",1628401,"Derrick White"
"G",1628390,"Terrance Ferguson"
"G",1628370,"Malik Monk"
"G",1628443,"Kadeem Allen"
"G",1628422,"Damyean Dotson"
"G",1628492,"Gian Clavell"
"G",203464,"Brandon Paul"
"G",1628495,"Milton Doyle"
"G",1627853,"Ryan Arcidiacono"
"G",1628432,"Davon Reed"
"G",204066,"John Holland"
"G",1628476,"Derrick Walton Jr."
"G",1628420,"Monte Morris"
"G",202918,"Xavier Silas"
"G",1628506,"London Perrantes"
"G",2863,"Damien Wilkins"
"G",1628444,"Jabari Bird"
"G",1628499,"Antonius Cleveland"
"G",203498,"Shabazz Muhammad"
"G",1627788,"Furkan Korkmaz"
"G",1627215,"Walt Lemon Jr."
"G",1628408,"PJ Dozier"
"G",1627772,"Daniel Hamilton"
"G",1628429,"Charles Cooke"
"G",1626643,"Jacob Pullen"
"G",1627779,"Marcus Paige"
"G",1626148,"Anthony Brown"
"G",1628410,"Edmond Sumner"
"G",1628475,"Matt Williams Jr."
"G",203687,"Reggie Hearn"
"G",1629029,"Luka Doncic"
"G",1629012,"Collin Sexton"
"G",1628983,"Shai Gilgeous-Alexander"
"G",1629027,"Trae Young"
"G",1629026,"Kenrich Williams"
"G",1629006,"Josh Okogie"
"G",1628989,"Kevin Huerter"
"G",1629013,"Landry Shamet"
"G",1628971,"Bruce Brown"
"G",1628973,"Jalen Brunson"
"G",1629001,"De'Anthony Melton"
"G",1629019,"Allonzo Trier"
"G",1628407,"Dwayne Bacon"
"G",1628959,"Rawle Alkins"
"G",1628402,"Frank Jackson"
"G",1628515,"Isaiah Briscoe"
"G",1629015,"Zhaire Smith"
"G",1628978,"Donte DiVincenzo"
"G",1629059,"Elie Okobo"
"G",1629033,"Theo Pinson"
"G",1628988,"Aaron Holiday"
"G",1629244,"Cameron Reynolds"
"G",1629541,"Dairis Bertans"
"G",1628975,"Jevon Carter"
"G",1628960,"Grayson Allen"
"G",1627395,"Julian Washburn"
"G",1628984,"Devonte' Graham"
"G",1629018,"Gary Trent Jr."
"G",1629003,"Shake Milton"
"G",1629139,"Yuta Watanabe"
"G",1629102,"Brandon Sampson"
"G",1629121,"Jaylen Adams"
"G",1629004,"Svi Mykhailiuk"
"G",1628980,"Jacob Evans"
"G",1629151,"Ryan Broekhoff"
"G",1628656,"Billy Garrett"
"G",1628249,"Mitchell Creek"
"G",202954,"Brad Wanamaker"
"G",1629010,"Jerome Robinson"
"G",1628977,"Hamidou Diallo"
"G",1629133,"Daryl Macon"
"G",1629126,"Deonte Burton"
"G",1629014,"Anfernee Simons"
"G",1628605,"Dusty Hannahs"
"G",1629123,"Jared Terrell"
"G",1629122,"J.P. Macura"
"G",1629067,"Isaac Bonga"
"G",1629185,"Chris Chiozza"
"G",1629022,"Lonnie Walker IV"
"G",1628513,"Naz Mitrou-Long"
"G",1629017,"Khyri Thomas"
"G",1628979,"Trevon Duval"
"G",1629152,"DeVaughn Akoon-Purcell"
"G",203159,"Scott Machado"
"G",1628070,"Jordan Loyd"
"G",1629058,"Dzanan Musa"
"G",1628505,"Troy Caupain"
"G",1628982,"Melvin Frazier Jr."
"G",1629164,"Brandon Goodwin"
"G",1628769,"Tahjere McCall"
"G",1629631,"De'Andre Hunter"
"G",1629630,"Ja Morant"
"G",1626162,"Kelly Oubre Jr."
"G",1629636,"Darius Garland"
"G",1628539,"Mychal Mulder"
"G",1629628,"RJ Barrett"
"G",1629134,"Kendrick Nunn"
"G",1628369,"Jayson Tatum"
"G",1629634,"Brandon Clarke"
"G",1629647,"Darius Bazley"
"G",200752,"Rudy Gay"
"G",1629645,"Kevin Porter Jr."
"G",1628972,"Troy Brown Jr."
"G",1629639,"Tyler Herro"
"G",1629629,"Cam Reddish"
"G",1629065,"Ky Bowman"
"G",1629652,"Luguentz Dort"
"G",203090,"Maurice Harkless"
"G",1629640,"Keldon Johnson"
"G",1629633,"Jarrett Culver"
"G",1629680,"Matisse Thybulle"
"G",1629659,"Talen Horton-Tucker"
"G",1628990,"Chandler Hutchison"
"G",1629632,"Coby White"
"G",1629162,"Jordan McLaughlin"
"G",1629216,"Gabe Vincent"
"G",1629147,"Joe Chealey"
"G",1629056,"Terence Davis"
"G",1629673,"Jordan Poole"
"G",1629638,"Nickeil Alexander-Walker"
"G",1629611,"Terance Mann"
"G",1629678,"Admiral Schofield"
"G",1629725,"Jeremiah Martin"
"G",1629671,"Miye Oni"
"G",1626187,"Michael Frazier II"
"G",1629642,"Nassir Little"
"G",1629723,"John Konchar"
"G",1629660,"Ty Jerome"
"G",1629641,"Romeo Langford"
"G",1629682,"Tremont Waters"
"G",1629599,"Amir Coffey"
"G",1629744,"Matt Thomas"
"G",1629690,"Adam Mokoka"
"G",1629598,"Chris Clemons"
"G",1629610,"DaQuan Jeffries"
"G",202951,"Jeremy Pargo"
"G",1629726,"Garrison Mathews"
"G",1629669,"Jaylen Nowell"
"G",1629713,"Justin James"
"G",1629668,"Zach Norvell Jr."
"G",1629741,"Marko Guduric"
