"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast"
"545",FALSE,FALSE,"Nicolas Brussino",1627852,1,2016,2017
"546",TRUE,TRUE,"Elijah Bryant",1629091,0,2020,2020
"547",FALSE,FALSE,"Emmette Bryant",76289,7,1964,1971
"548",FALSE,FALSE,"Joe Bryant",76290,7,1975,1982
"549",FALSE,FALSE,"Kobe Bryant",977,19,1996,2015
"550",FALSE,FALSE,"Mark Bryant",95,14,1988,2002
"551",TRUE,FALSE,"Thomas Bryant",1628418,3,2017,2020
"552",FALSE,FALSE,"Wallace Bryant",76291,2,1983,1985
"553",FALSE,FALSE,"Torgeir Bryn",76292,0,1989,1989
"554",FALSE,FALSE,"Joe Buckhalter",76293,1,1961,1962
"555",FALSE,FALSE,"Steve Bucknall",76294,0,1989,1989
"556",FALSE,FALSE,"Cleveland Buckner",76295,1,1961,1962
"557",FALSE,FALSE,"Greg Buckner",1761,9,1999,2008
"558",FALSE,FALSE,"Quinn Buckner",76296,9,1976,1985
"559",FALSE,FALSE,"Dave Budd",76297,4,1960,1964
"560",FALSE,FALSE,"Chase Budinger",201978,6,2009,2015
"561",FALSE,FALSE,"Walter Budko",76298,3,1948,1951
"562",FALSE,FALSE,"Jud Buechler",146,11,1990,2001
"563",FALSE,FALSE,"Rodney Buford",1934,5,1999,2004
"564",FALSE,FALSE,"Matt Bullard",672,12,1990,2002
"565",TRUE,FALSE,"Reggie Bullock",203493,7,2013,2020
"566",FALSE,FALSE,"Greg Bunch",76300,0,1978,1978
"567",FALSE,FALSE,"Dick Bunt",76301,0,1952,1952
"568",FALSE,FALSE,"Bill Buntin",76302,0,1965,1965
"569",FALSE,FALSE,"Luther Burden",76303,1,1976,1977
"570",FALSE,FALSE,"Pat Burke",2469,4,2002,2006
"571",TRUE,FALSE,"Trey Burke",203504,7,2013,2020
"572",FALSE,FALSE,"Roger Burkman",76304,0,1981,1981
"573",TRUE,FALSE,"Alec Burks",202692,9,2011,2020
"574",FALSE,FALSE,"Antonio Burks",2766,1,2004,2005
"575",FALSE,FALSE,"Kevin Burleson",101207,0,2005,2005
"576",FALSE,FALSE,"Tom Burleson",76305,6,1974,1980
"577",FALSE,FALSE,"Jack Burmaster",76306,0,1949,1949
"578",FALSE,FALSE,"David Burns",76307,0,1981,1981
"579",FALSE,FALSE,"Evers Burns",76308,0,1993,1993
"580",FALSE,FALSE,"Jim Burns",76309,0,1967,1967
"581",FALSE,FALSE,"Scott Burrell",197,7,1993,2000
"582",FALSE,FALSE,"Art Burris",76311,1,1950,1951
"583",FALSE,FALSE,"Junior Burrough",675,0,1995,1995
"584",FALSE,FALSE,"Bob Burrow",76313,1,1956,1957
"585",FALSE,FALSE,"Deonte Burton",1629126,1,2018,2019
"586",FALSE,FALSE,"Ed Burton",76314,3,1961,1964
"587",FALSE,FALSE,"Willie Burton",416,8,1990,1998
"588",FALSE,FALSE,"Steve Burtt",76316,8,1984,1992
"589",FALSE,FALSE,"Don Buse",76317,8,1976,1984
"590",FALSE,FALSE,"Brian Butch",202221,0,2009,2009
"591",FALSE,FALSE,"Donnie Butcher",76318,4,1961,1965
"592",FALSE,FALSE,"Al Butler",76319,3,1961,1964
"593",FALSE,FALSE,"Caron Butler",2406,13,2002,2015
"594",FALSE,FALSE,"Da'Sean Butler",202364,0,2010,2010
"595",FALSE,FALSE,"Greg Butler",76320,2,1988,1990
"596",FALSE,FALSE,"Jackie Butler",2866,2,2004,2006
"597",TRUE,FALSE,"Jimmy Butler",202710,9,2011,2020
"598",FALSE,FALSE,"Mitchell Butler",348,10,1993,2003
"599",FALSE,FALSE,"Rasual Butler",2446,13,2002,2015
