"","test_actual","test_fold","type","test_preds"
"540",-11.3,"6","w60_tf",-3.57876491457605
"541",22.5,"6","sn_net_rating_diff",5.34557038553521
"542",22.5,"6","w60_en",3.93783796992989
"543",22.5,"6","w_40",5.55017062573031
"544",22.5,"6","w40_t",5.63134461654995
"545",22.5,"6","w40_td",7.76218199398293
"546",22.5,"6","w60_tf",6.38177492254223
"547",-8.4,"6","sn_net_rating_diff",-15.3705994189591
"548",-8.4,"6","w60_en",-13.4398612395686
"549",-8.4,"6","w_40",-15.5096641683814
"550",-8.4,"6","w40_t",-15.4538655606241
"551",-8.4,"6","w40_td",-18.7468140458939
"552",-8.4,"6","w60_tf",-16.727131122831
