"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","season"
1610612754,"IND","Indiana Pacers",82,48,34,240.3,240.3,95689.16,18.12,9.65,8.47,4.22,4.49,3.95,2018
1610612746,"LAC","LA Clippers",82,48,34,241.83,241.83,97190.82,18.41,9.93,8.48,4.25,4.62,3.89,2018
1610612747,"LAL","Los Angeles Lakers",82,37,45,241.22,241.22,95470.72,18.08,9.59,8.49,4.21,4.58,3.85,2018
1610612763,"MEM","Memphis Grizzlies",82,33,49,242.44,242.44,96357.88,18.25,9.99,8.26,4.22,4.47,3.96,2018
1610612748,"MIA","Miami Heat",82,39,43,240.61,240.61,94976.05,17.99,9.92,8.07,4.18,4.53,3.82,2018
1610612749,"MIL","Milwaukee Bucks",82,60,22,241.22,241.22,96343.24,18.25,9.74,8.51,4.24,4.64,3.87,2018
1610612750,"MIN","Minnesota Timberwolves",82,36,46,241.83,241.83,94730.87,17.94,9.61,8.33,4.15,4.39,3.9,2018
1610612740,"NOP","New Orleans Pelicans",82,33,49,240.91,240.91,96268.04,18.23,9.76,8.47,4.25,4.66,3.86,2018
1610612752,"NYK","New York Knicks",81,17,64,241.23,241.23,96188.52,18.22,9.89,8.33,4.25,4.57,3.91,2018
1610612760,"OKC","Oklahoma City Thunder",81,48,33,242.16,242.16,95690.12,18.12,9.31,8.82,4.19,4.6,3.83,2018
1610612753,"ORL","Orlando Magic",80,40,40,241.25,241.25,96196.23,18.22,10.01,8.21,4.26,4.6,3.9,2018
1610612755,"PHI","Philadelphia 76ers",81,51,30,241.54,241.54,98368.35,18.63,10.15,8.48,4.33,4.75,3.91,2018
1610612756,"PHX","Phoenix Suns",82,19,63,242.44,242.44,95583.6,18.1,9.82,8.28,4.18,4.5,3.86,2018
1610612757,"POR","Portland Trail Blazers",82,53,29,242.13,242.13,95575.71,18.1,10.09,8.01,4.19,4.49,3.86,2018
1610612758,"SAC","Sacramento Kings",82,39,43,240.61,240.61,99006.12,18.75,9.93,8.82,4.37,4.79,3.98,2018
1610612759,"SAS","San Antonio Spurs",82,48,34,241.52,241.52,97019.89,18.37,10.19,8.18,4.32,4.71,3.92,2018
1610612761,"TOR","Toronto Raptors",82,58,24,242.44,242.44,97042.23,18.38,9.87,8.51,4.25,4.59,3.9,2018
1610612762,"UTA","Utah Jazz",81,50,31,240.92,240.92,96699.41,18.31,10.04,8.28,4.27,4.71,3.84,2018
1610612764,"WAS","Washington Wizards",81,31,50,243.08,243.08,95175.56,18.03,9.49,8.54,4.16,4.48,3.85,2018
1610612737,"ATL","Atlanta Hawks",67,20,47,242.99,242.99,97057.39,18.38,9.87,8.52,4.23,4.57,3.89,2019
